wavelength,power,f1,f2,f3,f4,f5,f6,f7,f8,clear,nir,ratio,I_dut,P_dut,cycle,PAR
426,6.147066e-07,0.07655263817140343,0.04089941083725722,0.0008396757588109624,0.0023325920611221578,0.002519221529305002,0.002726558424549427,0.004406051281172348,0.0023429754230342103,0.09334783405898014,0.0003110213774243018,1.138619329346705,1.0,6.999168166369933e-07,3.0,3.558656014770393
429,6.611592e-07,0.057627300128705095,0.06192874266224605,0.0012549480028317976,0.002580767457704578,0.0026515930719092076,0.0033701546936211212,0.00406851665190013,0.00265160370302244,0.09547880080419872,0.00030362145816274246,1.0844206876397038,1.0,7.169747143033164e-07,3.0,3.5837169726208886
432,7.308365999999999e-07,0.03831451556591716,0.0894176427465641,0.0017744976484149817,0.0028044826063048423,0.0022843954082338667,0.003854897329067146,0.004150661827491518,0.002784081632479803,0.09759654622004643,0.0002957486506737283,0.9735811656930607,1.0,7.115287489591532e-07,3.0,3.6087779304713843
435,8.058638e-07,0.022700701643068644,0.12060174753034174,0.0028039272379516574,0.0027832325542534965,0.0019140898398231083,0.0038386018167866623,0.0046042749464259205,0.003124680757107438,0.1002701974562431,0.0003104022388146177,0.8702618572850851,1.0,7.013125273068164e-07,3.0,3.63383888832188
438,8.709098000000001e-07,0.01210772509369325,0.1507011364259918,0.004487402350518817,0.002016227134944769,0.0020161614082909243,0.003463731275330239,0.004249584818765017,0.003298363740012928,0.1030143108338633,0.00036182002804197456,0.8058128852904037,1.0,7.017903387656885e-07,3.0,3.6588998461723756
441,9.138832000000001e-07,0.006823670443867653,0.17505865916848082,0.0072853129586357614,0.001214158733999211,0.0024485223258880534,0.003512149804824767,0.0034620280076902215,0.0032111211332195703,0.10605861681107323,0.0006723069110753717,0.7912476169635306,1.0,7.231079041830057e-07,3.0,3.6839608040228717
444,9.327681999999999e-07,0.004728133622149182,0.19066495123287358,0.01164585017106676,0.0010003394590190396,0.0028123380570505745,0.0030954589586530343,0.003312479505822855,0.003482407958773869,0.10909698506832022,0.0009531562057119057,0.8243026888073762,1.0,7.688833352940164e-07,3.0,3.709021761873367
447,9.339434000000001e-07,0.0036084135640483137,0.1963771514243539,0.01797244513699819,0.0011358678783507904,0.0028745470126451977,0.002490072519473016,0.0035036083112440298,0.004150185714809223,0.11166998643881014,0.0012406845817686755,0.8892487618919386,1.0,8.305080121271477e-07,3.0,3.734082719723863
450,9.320124e-07,0.002657320311483723,0.19440389347037113,0.027173699758633207,0.0012719163275818055,0.0027708049337859084,0.0022603620156692464,0.003475649074369304,0.004763857387239308,0.11371745362593137,0.0015636616389940676,0.960970629119928,1.0,8.95636542375574e-07,3.0,3.7591436775743587
453,9.413442e-07,0.001876759919488145,0.18631920671698374,0.039915867610501296,0.0015487162061629995,0.002860919501903817,0.002235311367626295,0.0034407567863028164,0.005409075801141633,0.11552066799311093,0.001998818414836018,1.0103928914669127,1.0,9.511274881036078e-07,3.0,3.7842046354248544
456,9.697914000000002e-07,0.0016733815417167384,0.1722814113184644,0.05727243889014992,0.0018945593525815276,0.0030814307258826097,0.0020567641364606227,0.0037080654702793987,0.006207159539178625,0.11772199062857673,0.0023000172675333116,1.0149784053251454,1.0,9.843173286700401e-07,3.0,3.80926559327535
