wavelength,index,power,f1,f2,f3,f4,f5,f6,f7,f8,clear,nir,ratio,I_dut,P_dut,cycle,PAR
420,476.0,4.690914e-07,0.006518145577716826,2.632305566603531e-05,2.4607985271254036e-05,2.2932924707847576e-05,1.6418660124627627e-05,2.284778829287987e-05,2.2932924707847576e-05,2.300335025125408e-05,0.005043746202550555,1.6418660124627627e-05,0.888754820206089,0.0945518469582908,4.1690724286722255e-07,3.0,0.33173837918315474
423,524.0,4.7494200000000005e-07,0.005502764232707553,2.2326618490012212e-05,1.9474343547752858e-05,1.9474343547752858e-05,1.3952549518680017e-05,1.6748137942664398e-05,1.956830131472063e-05,1.9474343547752858e-05,0.005097045232407569,1.3952549518680017e-05,1.0329998711374022,0.0945518469582908,4.906150247977401e-07,3.0,0.334107939034463
426,572.0,4.868125999999999e-07,0.004414459340677153,0.0008357256819183235,1.759265348837776e-05,1.8822809577596524e-05,1.2548539718397684e-05,1.5031076192477822e-05,1.8822809577596524e-05,1.629218530593709e-05,0.0053632483492301476,1.2548539718397684e-05,1.120601773906544,0.0945518469582908,5.455230631200568e-07,3.0,0.3364774988857713
429,619.0,5.06602e-07,0.0032136607062107658,0.002643469668907384,1.7755768706560633e-05,1.9001057767019246e-05,1.2667371844679497e-05,2.0173029737169112e-05,1.9001057767019246e-05,1.9001057767019246e-05,0.006063927090035384,1.2667371844679497e-05,1.0664531264756,0.0945518469582908,5.402672867787919e-07,3.0,0.3388470587370795
432,666.0,5.519404e-07,0.0017262629962574293,0.0053373513189968495,1.8732564235634655e-05,1.8792017844552264e-05,1.3413534925040002e-05,1.4801273076965352e-05,2.0120302387560003e-05,1.8732564235634655e-05,0.00681403229354847,1.4741819468047737e-05,0.9246276597481279,0.0945518469582908,5.103393603724456e-07,3.0,0.3412166185883877
435,477.0,6.078278e-07,0.0002909127869104218,0.008570543739452497,1.9746743872001964e-05,1.9746743872001964e-05,1.4132934584577088e-05,1.9924813145597156e-05,2.1199401876865632e-05,1.9830373219155533e-05,0.007352058822847634,1.4132934584577088e-05,0.7968734099329555,0.0945518469582908,4.843618116380464e-07,3.0,0.34358617843969597
438,525.0,6.635712e-07,2.7342692058247006e-05,0.011440700063880363,2.1543278999635346e-05,2.1543278999635346e-05,1.4362185999756898e-05,2.5808565973187788e-05,2.1543278999635346e-05,2.1543278999635346e-05,0.007541693966305671,1.4362185999756898e-05,0.7181069689780039,0.0945518469582908,4.7651510313309683e-07,3.0,0.34595573829100423
441,573.0,7.235892e-07,2.1930574857466542e-05,0.013058991301670897,1.778736279136857e-05,1.9130619567135695e-05,1.3644150725270596e-05,1.908122560869592e-05,2.0466226087905894e-05,2.0466226087905894e-05,0.007399263069615389,1.3644150725270596e-05,0.6932408812909123,0.0945518469582908,5.016216147005862e-07,3.0,0.3483252981423125
444,620.0,7.434094e-07,2.0432991089067745e-05,0.014045995654592946,1.9151772670448403e-05,1.785998359673587e-05,1.2767848446965601e-05,2.2988177107583838e-05,1.9151772670448403e-05,1.7892208841729206e-05,0.007428431342685999,1.2767848446965601e-05,0.7208132386785628,0.0945518469582908,5.358593372780872e-07,3.0,0.35069485799362077
447,667.0,7.683974e-07,1.560860856510425e-05,0.013718642132714332,1.6764656447531733e-05,1.5613715216098675e-05,1.2327378863120876e-05,1.3478320094553931e-05,1.6764656447531733e-05,1.6764656447531733e-05,0.007176304798175584,1.1176437631687819e-05,0.7968306618553238,0.0945518469582908,6.1228260880991e-07,3.0,0.353064417844929
450,478.0,7.650774000000001e-07,1.3995863771489893e-05,0.01331888538789221,7.254588571811614e-05,1.4945784455282489e-05,9.96385630352166e-06,1.191752913657408e-05,1.3922189134230321e-05,1.4945784455282489e-05,0.007175027049589382,9.96385630352166e-06,0.8977646445372287,0.0945518469582908,6.868594400544672e-07,3.0,0.35543397769623725
453,526.0,7.619658e-07,1.1017646011423164e-05,0.012960201446691494,0.0009660787143990537,1.2882503123576573e-05,9.183034951037991e-06,1.2875753438744059e-05,1.3774552426556985e-05,1.3774552426556985e-05,0.0073731177918913825,1.0100340481230576e-05,0.9779552586707407,0.0945518469582908,7.451684610372578e-07,3.0,0.35780353754754546
456,574.0,7.791282e-07,1.0621288595452695e-05,0.01240351604159309,0.0022399373069177443,1.4142961225485591e-05,8.832316927759243e-06,1.0590001296336785e-05,1.146693269410668e-05,1.3248475391638867e-05,0.007778761372839808,8.832316927759243e-06,0.994330921843164,0.0945518469582908,7.747112613400049e-07,3.0,0.3601730973988537
