wavelength,power_1,CI_Low_1,CI_High_1,power_2,CI_Low_2,CI_High_2,power,CI_Low,CI_High,power_4,CI_Low_4,CI_High_4,power_4b,CI_Low_4b,CI_High_4b,power_5b,CI_Low_5b,CI_High_5b,trans,refl,trans_adj,refl_adj,trans_adj_bs,refl_adj_bs
416,6.49E-07,6.48E-07,6.51E-07,2.83E-07,2.82E-07,2.83E-07,3.66E-07,3.65E-07,3.66E-07,3.64E-09,3.08E-09,4.20E-09,4.19E-09,3.76E-09,4.62E-09,6.02E-09,5.60E-09,6.45E-09,43.50910696,56.31638247,43.1910205,56.07041066,43.10459285,55.70061635
417,6.64E-07,6.62E-07,6.65E-07,2.92E-07,2.91E-07,2.92E-07,3.70E-07,3.70E-07,3.71E-07,3.75E-09,3.49E-09,4.01E-09,4.06E-09,3.81E-09,4.30E-09,6.12E-09,5.52E-09,6.71E-09,43.91496343,55.78646232,43.59656121,55.53545619,43.54964408,55.17668158
418,6.79E-07,6.77E-07,6.80E-07,3.03E-07,3.02E-07,3.03E-07,3.73E-07,3.73E-07,3.73E-07,3.74E-09,3.27E-09,4.21E-09,3.97E-09,3.23E-09,4.71E-09,6.01E-09,5.72E-09,6.30E-09,44.61500105,54.95176585,44.30817315,54.70220269,44.27459149,54.36638172
419,6.94E-07,6.92E-07,6.95E-07,3.16E-07,3.16E-07,3.16E-07,3.74E-07,3.74E-07,3.74E-07,3.80E-09,3.68E-09,3.91E-09,3.93E-09,3.43E-09,4.44E-09,5.91E-09,5.27E-09,6.55E-09,45.58277453,53.87816293,45.28338978,53.62441653,45.26376198,53.31820079
420,7.09E-07,7.07E-07,7.11E-07,3.31E-07,3.30E-07,3.31E-07,3.73E-07,3.73E-07,3.74E-07,3.75E-09,3.52E-09,3.99E-09,4.11E-09,3.49E-09,4.74E-09,6.07E-09,5.68E-09,6.46E-09,46.64806105,52.6908622,46.36410412,52.43906709,46.31310093,52.11009817
421,7.25E-07,7.22E-07,7.27E-07,3.47E-07,3.46E-07,3.47E-07,3.72E-07,3.72E-07,3.72E-07,3.52E-09,3.10E-09,3.95E-09,4.15E-09,3.88E-09,4.42E-09,6.06E-09,5.91E-09,6.21E-09,47.85855852,51.37774361,47.60380787,51.14018686,47.51687772,50.78873544
422,7.41E-07,7.39E-07,7.43E-07,3.63E-07,3.63E-07,3.64E-07,3.71E-07,3.70E-07,3.71E-07,3.71E-09,3.50E-09,3.93E-09,4.02E-09,3.43E-09,4.61E-09,6.01E-09,5.49E-09,6.52E-09,49.05150433,50.02700345,48.79477891,49.7751935,48.75363716,49.46420639
423,7.57E-07,7.55E-07,7.59E-07,3.80E-07,3.79E-07,3.80E-07,3.70E-07,3.69E-07,3.70E-07,3.54E-09,3.23E-09,3.85E-09,4.01E-09,3.44E-09,4.58E-09,5.95E-09,5.54E-09,6.36E-09,50.17486711,48.84483311,49.94074129,48.60445753,49.87823419,48.28484067
424,7.73E-07,7.71E-07,7.75E-07,3.95E-07,3.94E-07,3.96E-07,3.70E-07,3.70E-07,3.70E-07,3.48E-09,3.07E-09,3.89E-09,4.01E-09,3.73E-09,4.29E-09,5.90E-09,5.10E-09,6.69E-09,51.1293523,47.86290055,50.90835235,47.62712926,50.83938319,47.31332706
425,7.90E-07,7.88E-07,7.92E-07,4.09E-07,4.09E-07,4.10E-07,3.73E-07,3.72E-07,3.73E-07,3.58E-09,3.53E-09,3.64E-09,4.06E-09,3.55E-09,4.56E-09,6.05E-09,5.72E-09,6.38E-09,51.81936373,47.15473844,51.59993602,46.91406676,51.53942492,46.60030073
426,8.07E-07,8.05E-07,8.09E-07,4.21E-07,4.21E-07,4.22E-07,3.78E-07,3.78E-07,3.78E-07,3.45E-09,3.09E-09,3.82E-09,3.81E-09,3.35E-09,4.26E-09,5.87E-09,5.14E-09,6.59E-09,52.16558609,46.85775819,51.96000915,46.62936991,51.91631393,46.32895926
427,8.24E-07,8.22E-07,8.27E-07,4.30E-07,4.29E-07,4.30E-07,3.87E-07,3.87E-07,3.87E-07,3.47E-09,3.11E-09,3.82E-09,3.77E-09,3.14E-09,4.40E-09,5.80E-09,5.04E-09,6.57E-09,52.10771838,46.92383626,51.90542367,46.69964508,51.86813061,46.41514697
428,8.43E-07,8.41E-07,8.45E-07,4.36E-07,4.35E-07,4.37E-07,3.99E-07,3.99E-07,3.99E-07,3.46E-09,3.13E-09,3.80E-09,3.99E-09,3.76E-09,4.21E-09,5.91E-09,5.33E-09,6.49E-09,51.74356123,47.38554532,51.54435238,47.16834602,51.48202902,46.87646121
429,8.60E-07,8.58E-07,8.62E-07,4.39E-07,4.39E-07,4.39E-07,4.14E-07,4.14E-07,4.15E-07,3.47E-09,3.06E-09,3.87E-09,3.71E-09,3.29E-09,4.13E-09,5.96E-09,5.67E-09,6.25E-09,51.04959284,48.15692875,50.85141755,47.94704255,50.82303663,47.65613731
430,8.79E-07,8.77E-07,8.80E-07,4.40E-07,4.39E-07,4.41E-07,4.32E-07,4.32E-07,4.33E-07,3.59E-09,3.48E-09,3.71E-09,3.99E-09,3.89E-09,4.09E-09,5.69E-09,5.33E-09,6.05E-09,50.08270072,49.20363616,49.87762784,48.99495187,49.83213552,48.75562615
431,8.97E-07,8.95E-07,8.99E-07,4.39E-07,4.38E-07,4.39E-07,4.52E-07,4.52E-07,4.52E-07,3.43E-09,3.15E-09,3.70E-09,3.96E-09,3.63E-09,4.29E-09,5.53E-09,4.86E-09,6.20E-09,48.91327557,50.43409325,48.71732265,50.24397372,48.65748332,50.00847508
432,9.15E-07,9.13E-07,9.18E-07,4.37E-07,4.36E-07,4.37E-07,4.74E-07,4.73E-07,4.74E-07,3.45E-09,3.07E-09,3.83E-09,3.92E-09,3.42E-09,4.42E-09,5.66E-09,5.03E-09,6.29E-09,47.69310698,51.73557126,47.49526372,51.55301804,47.44343907,51.31085856
433,9.34E-07,9.32E-07,9.36E-07,4.34E-07,4.33E-07,4.34E-07,4.95E-07,4.95E-07,4.96E-07,3.51E-09,3.35E-09,3.67E-09,3.96E-09,3.53E-09,4.39E-09,5.41E-09,4.84E-09,5.97E-09,46.43410345,53.05238641,46.23223488,52.87545952,46.1834479,52.67111149
